strategy,round,loss,rmse,mae,r2
fedavg,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
fedavg,1,0.16373677234891185,6122.372415983857,3157.5732421875,0.7323814477284017
fedavg,2,0.08502959339704771,4972.9116219776115,2032.1373291015625,0.8234376052285091
fedavg,3,0.07825497682827526,5144.152797108577,2085.93603515625,0.8110684669624426
fedavg,4,0.06883497566821702,4974.698583834,1914.0380859375,0.8233107003798376
fedavg,5,0.05934463470890266,4478.649349971484,1611.5784912109375,0.8567908188059816
fedavg,6,0.04264454095771045,3982.520558641223,1340.54248046875,0.8867618487741223
fedavg,7,0.03800711653371871,4047.548887907347,1489.744384765625,0.883033650361288
fedavg,8,0.060748860039145744,4843.010014443497,1613.423095703125,0.8325414038618262
fedavg,9,0.038750381109004875,3933.1254747338025,1283.668212890625,0.889553410794031
fedavg,10,0.037752947612191994,3928.362508730578,1281.1024169921875,0.889820742538118
fedavg,11,0.04826435318390429,4505.804922541587,1396.4283447265625,0.8550489093310687
fedavg,12,0.03429243752850573,4066.530462199933,1455.5020751953125,0.8819340161077203
fedavg,13,0.04727489697497521,4652.090497829981,1357.7135009765625,0.8454841584969257
fedavg,14,0.034339599742917504,4198.036207561817,1486.5333251953125,0.8741743778509227
fedavg,15,0.044225134244123276,4434.945771934534,1297.17333984375,0.8595721219628779
fedavg,16,0.03371803965344801,3934.8068567592995,1248.474853515625,0.8894589544577466
fedavg,17,0.033174607463726545,3994.5685624357484,1256.1566162109375,0.8860756708988424
fedavg,18,0.03182927880776203,4124.440568125573,1478.9886474609375,0.878547396035113
fedavg,19,0.0334561760168347,3871.6825799644266,1230.3330078125,0.8929772238281812
fedavg,20,0.03338009370780488,3922.607551106789,1250.6019287109375,0.8901433284157276
fedavg,21,0.03379653418322683,4114.182300287628,1220.8951416015625,0.8791507990385679
fedavg,22,0.030809882397734474,3941.0515094324765,1182.75732421875,0.8891078138892363
fedavg,23,0.0305748503466502,3936.666483206318,1228.05126953125,0.88935444458237
fedavg,24,0.03215899980564414,4017.87904248,1234.110595703125,0.8847421727001785
fedavg,25,0.034424377184962794,4437.580196458426,1587.1204833984375,0.8594052376137465
fedavg,26,0.03499723084592293,4402.664647687807,1629.0709228515625,0.8616089792491434
fedavg,27,0.030181181715164283,3784.7434523359702,1251.3272705078125,0.8977296806168822
fedavg,28,0.030466181849136038,4097.085793585485,1521.1456298828125,0.8801530877549741
fedavg,29,0.045817006855536115,4729.778853181193,1304.734375,0.8402803410676702
