strategy,round,loss,rmse,mae,r2
fedavg,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
fedavg,1,0.170186478162601,6179.957605032579,3418.262451171875,0.7273234982784469
fedavg,2,0.09410153250158611,4927.566945258075,2373.20263671875,0.8266428436166201
fedavg,3,0.059412036524523225,4372.354743156141,1805.0997314453125,0.8635079028590241
fedavg,4,0.04539994700039282,4113.724589711858,1543.9361572265625,0.8791776891391155
fedavg,5,0.04168605558768498,4044.1576378771388,1460.6488037109375,0.8832295733791319
fedavg,6,0.04115797280181674,4067.8885186297816,1405.9295654296875,0.8818551497233759
fedavg,7,0.03610628231642478,4067.5031653337405,1412.701904296875,0.8818775300306766
fedavg,8,0.03673773443507574,4286.929203987395,1501.446533203125,0.868789274066134
fedavg,9,0.04201253114030916,4226.762354332214,1306.0035400390625,0.8724465037325542
fedavg,10,0.04080401993951683,4099.898047512889,1290.5421142578125,0.8799885059669478
fedavg,11,0.03660959563215255,4273.773508271116,1524.9293212890625,0.8695933518695858
fedavg,12,0.03705398694293549,3933.880526909784,1217.4901123046875,0.8895109967385175
fedavg,13,0.03430583378264574,3882.6914634052496,1283.08642578125,0.8923677344370922
fedavg,14,0.034124536606050665,3952.095646615856,1301.782958984375,0.8884854330891582
fedavg,15,0.03135278472002435,4023.817093258589,1375.3994140625,0.8844012396637005
fedavg,16,0.03218038469448372,4048.3228626185437,1400.3031005859375,0.8829889190786752
fedavg,17,0.032770783998214134,3897.4935535546433,1261.4608154296875,0.8915455147986923
fedavg,18,0.038102886000593965,4070.337209617896,1217.640380859375,0.8817128675796815
fedavg,19,0.03324943439943441,3921.5892186714304,1257.022216796875,0.8902003571345604
fedavg,20,0.03749211836015897,4060.6332018541148,1222.7593994140625,0.8822762104197079
fedavg,21,0.03210914859486559,4063.4938169019033,1418.1785888671875,0.8821102866932031
fedavg,22,0.03680384586637124,4048.1330264703506,1231.5594482421875,0.882999889242411
fedavg,23,0.032512226901432816,3945.273628026325,1288.4583740234375,0.8888700854546423
fedavg,24,0.030998754321617132,4017.8556469838486,1412.3985595703125,0.8847435146386569
fedavg,25,0.03277580959791525,4113.057257077757,1505.4093017578125,0.8792168840088803
fedavg,26,0.030939682488635167,4051.531068620849,1445.00732421875,0.8828033869177923
fedavg,27,0.031226300315907153,3825.3442982298993,1283.117919921875,0.8955237024173548
fedavg,28,0.03165061624464743,3933.0879725732043,1295.9417724609375,0.889555515364213
fedavg,29,0.030654430012017817,3894.289537258369,1284.3472900390625,0.8917237506274113
fedavg,30,0.03683959726251684,4049.441072543222,1218.1474609375,0.8829242640428069
fedprox,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
fedprox,1,0.16206051216441147,6237.368034676165,3235.03564453125,0.7222337529528513
fedprox,2,0.09738489463850632,5101.239849291543,2304.10986328125,0.8142074883862924
fedprox,3,0.07399554495534363,4908.982582979899,1942.2342529296875,0.827948014447295
fedprox,4,0.06283988547861695,4714.662872358956,1746.999267578125,0.8412996130054753
fedprox,5,0.05507303164186425,4534.03330380358,1636.95458984375,0.8532270115232476
fedprox,6,0.054790984148882636,4610.3210300368455,1577.2713623046875,0.8482463811952387
fedprox,7,0.04477211680083929,4343.124681608853,1466.585205078125,0.8653267648060252
fedprox,8,0.049149850801421834,4501.751881212469,1452.873291015625,0.8553095680477496
fedprox,9,0.04749339707373242,4476.9692873639415,1429.1339111328125,0.8568982472142237
fedprox,10,0.0394974503527912,4221.137998218016,1472.5054931640625,0.8727857281806963
fedprox,11,0.04137886224787238,4563.403335231284,1665.327880859375,0.8513193616467588
fedprox,12,0.036739185659836984,4292.420296289729,1523.611083984375,0.8684529241528746
fedprox,13,0.040511902125595266,4305.397078086991,1328.5230712890625,0.8676563406725097
fedprox,14,0.0398691714915971,4223.248275912748,1307.001708984375,0.8726585006801502
fedprox,15,0.03563779440718734,4081.777553958569,1328.45458984375,0.8810470021065061
fedprox,16,0.051889030662633354,4864.148846406738,1429.81396484375,0.8310763590272949
fedprox,17,0.03705951504954842,4396.658503909532,1589.148681640625,0.8619863059504749
fedprox,18,0.03299174203332831,4044.586010953408,1333.677734375,0.883204831846749
fedprox,19,0.03398558597006614,4050.072591942026,1338.6351318359375,0.8828877457170017
fedprox,20,0.037120552380441305,4390.334383620455,1604.3685302734375,0.8623830504282588
fedprox,21,0.03267861159523966,3968.4672103974854,1309.9932861328125,0.8875596202000254
fedprox,22,0.03655044949420148,4073.7201671199755,1271.6685791015625,0.8815161672641397
fedprox,23,0.033809320266949855,3962.057041487414,1289.9188232421875,0.8879225668939466
fedprox,24,0.033316646585821987,4045.607865327533,1472.7603759765625,0.8831458085526916
fedprox,25,0.03302262235085369,4030.5203138056504,1481.8636474609375,0.8840157660025357
fedprox,26,0.03215417968167166,3994.7399164401177,1431.9822998046875,0.8860658960136419
fedprox,27,0.03204154259447707,4021.814640184204,1464.9713134765625,0.8845162650569897
fedprox,28,0.03188908017738353,3854.4007316313127,1315.184814453125,0.8939305207906308
fedprox,29,0.03205968454711834,3852.20702974282,1297.420654296875,0.8940512219237138
fedprox,30,0.03630870256625273,4011.7531080563767,1237.4635009765625,0.8850933645996688
scaffold,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
scaffold,1,0.17394637161026985,6655.8951313854095,3375.0927734375,0.6837069485603743
scaffold,2,0.08312049382548395,4813.995845448976,2107.96435546875,0.8345418601502408
scaffold,3,0.06496593757806235,4439.30242267859,1818.517578125,0.859296078618177
scaffold,4,0.047713046869190194,4300.028604556021,1600.455078125,0.8679861788843003
scaffold,5,0.04105886224743237,4126.872423518808,1480.2303466796875,0.8784041312698005
scaffold,6,0.0445883655780506,4174.874369367299,1388.2869873046875,0.8755589797067224
scaffold,7,0.037469928224786835,3947.3484771425997,1320.91064453125,0.8887531681480885
scaffold,8,0.03601969775828788,4025.424822301368,1332.6541748046875,0.8843088438996152
scaffold,9,0.03589673289971252,4014.680186515484,1305.0615234375,0.8849256222898709
scaffold,10,0.04215821054546441,4222.495470690288,1297.6533203125,0.8727038919325064
scaffold,11,0.03492741810425055,3961.8454033442545,1315.705078125,0.8879345416782919
scaffold,12,0.03406232430570672,3951.2243672056893,1319.7169189453125,0.8885345935020493
scaffold,13,0.03230763491104874,4007.1451184103626,1381.0267333984375,0.8853571838381212
scaffold,14,0.034463663426682785,3983.4842788694423,1281.343994140625,0.8867070346204288
scaffold,15,0.033067386348917704,4114.901942938616,1438.63330078125,0.8791085243100002
scaffold,16,0.03372202677803568,3934.3132818828753,1336.685546875,0.8894866878529665
