strategy,round,loss,rmse,mae,r2
fedavg,0,4.134466124154859,24250.156288156166,20810.46875,-3.198612761198425
fedavg,1,0.3557839197225293,7751.989422077407,4367.265625,0.5709547843875915
fedavg,2,0.2649404981669595,6743.240467312433,3659.807861328125,0.6753510569723428
fedavg,3,0.2621435875758723,6762.98868844241,3609.002197265625,0.6734467362765598
fedavg,4,0.33279710610508323,7820.327103133219,4008.931396484375,0.5633569487129007
fedavg,5,0.3709709508309034,8485.180021661297,4271.03125,0.48595772110629
fedavg,6,0.3143000232808688,7590.476401386148,4009.55712890625,0.5886469012865949
fedavg,7,0.39681637423148486,8668.559280526379,4340.65576171875,0.4634989800680924
fedavg,8,0.291934996843338,7543.867708278029,4275.6962890625,0.5936831450649868
fedavg,9,0.2848231551669904,7194.05615769018,3877.686767578125,0.6304915642374069
fedavg,10,0.3023466757361365,7408.102051132935,4097.4580078125,0.6081763739514108
fedavg,11,0.37636934569779945,8457.254400808812,4200.67724609375,0.4893357102412521
fedavg,12,0.3238852723551131,7910.175724976026,4496.7119140625,0.5532660406672769
fedavg,13,0.33579983162425586,7737.75161141788,4546.1298828125,0.5725293548675496
fedavg,14,0.3569790671916759,8001.908772286773,4671.0244140625,0.5428445317781592
fedavg,15,0.3650170595739168,8031.04526198178,4693.779296875,0.5395093086825737
fedavg,16,0.3460536630545839,7901.205730772994,4284.14013671875,0.5542786395776758
fedavg,17,0.4233863816009003,9005.571164562523,4608.24267578125,0.42097240704634153
fedavg,18,0.46279011593539354,9329.282073128672,4911.23291015625,0.3785972457497362
fedavg,19,0.3486041822428689,8005.41916454098,4597.9287109375,0.5424433581700969
fedavg,20,0.29530386494448335,7509.983488663607,3984.014892578125,0.5973249754373928
fedavg,21,0.3218896571124569,7746.82825419539,4138.10888671875,0.5715259075375936
fedavg,22,0.3195689125556346,7723.492474263181,4058.673583984375,0.574103397371713
fedavg,23,0.3832806604750895,8451.938475876406,4292.2470703125,0.4899774354878109
fedavg,24,0.3661389762018186,8179.055202161188,4314.79296875,0.5223794566730157
fedavg,25,0.3281206680067564,7694.583549484663,4185.77734375,0.5772856834787456
fedavg,26,0.3746453489260066,8442.801430804824,4670.28857421875,0.4910796142913896
fedavg,27,0.36405442736542215,8093.426962665444,4332.015625,0.5323277232580846
fedavg,28,0.3840112656041038,8318.800394287628,4498.09521484375,0.5059190193072536
fedavg,29,0.441001388140643,8902.601417563295,4922.55322265625,0.4341379528008412
fedavg,30,0.37146042912839766,8119.116700725517,4350.30224609375,0.529354104917942
fedavg,31,0.4238293120112558,9068.57122153209,4698.9912109375,0.4128426944223933
fedavg,32,0.4984958179765862,9873.089080931053,5499.00390625,0.3040423117455373
fedavg,33,0.5459667392814889,9947.355829565966,4979.07861328125,0.29353277755863527
fedavg,34,0.36776456601521673,8413.504858262102,4453.51318359375,0.4946053779849111
fedavg,35,0.3836691874259692,8457.355142123333,4551.12548828125,0.48932350813399506
fedavg,36,0.29675158349014336,7449.359704028259,3751.552490234375,0.6037998652605772
fedavg,37,0.3017411072221898,7551.0799227660145,3769.23193359375,0.5929058473671255
fedavg,38,0.5386805951057251,9816.755879617258,4922.5634765625,0.3119615380193024
fedavg,39,0.3136749953001648,7688.692216495599,3975.080810546875,0.5779327471472295
fedavg,40,0.4123769443007625,8713.044473661315,4585.6728515625,0.4579784064939615
fedprox,0,4.134466124154859,24250.156288156166,20810.46875,-3.198612761198425
fedprox,1,0.3429302061154108,7835.921132834353,4338.9365234375,0.5616138366264553
fedprox,2,0.2773248827535147,6991.488825708012,3746.45166015625,0.6510075303427689
fedprox,3,0.2897538661269271,7203.880343259458,3734.81298828125,0.6294816638699594
fedprox,4,0.26352632404449833,6855.508733857758,3806.82373046875,0.6644508793612853
fedprox,5,0.23057855353312362,6537.518489457601,3454.776611328125,0.6948575920220745
fedprox,6,0.23729848688320745,6585.230443955626,3516.484619140625,0.6903873676276686
fedprox,7,0.24215182061181026,6791.36805069494,3758.937255859375,0.6707003528520901
fedprox,8,0.2388234237281824,6629.112157747823,3554.17236328125,0.6862473040969279
fedprox,9,0.2376268484228951,6787.716258065006,3737.921630859375,0.6710543899544744
fedprox,10,0.24858597178038289,6992.512281004589,3824.132080078125,0.6509053376944915
fedprox,11,0.24691324929894512,6838.5129962587625,3785.490478515625,0.6661125658473812
fedprox,12,0.3034597286130624,7670.759545181951,4138.2607421875,0.5798992516588413
fedprox,13,0.2580133798787204,6886.128375219271,3864.403564453125,0.6614467850849888
fedprox,14,0.2258148768107774,6571.269283783765,3416.591064453125,0.6916987715059207
fedprox,15,0.311638594271546,7773.327472839414,4173.115234375,0.5685895701549597
fedprox,16,0.24895510741078866,6881.555056816736,3781.360595703125,0.66189632714225
fedprox,17,0.24915548907957202,6920.352014168066,3817.975830078125,0.6580732544122937
fedprox,18,0.23043157764100503,6648.572779175994,3521.187744140625,0.6844024980060115
fedprox,19,0.2722698338890267,7238.634401598136,3632.126708984375,0.6258980281629329
fedprox,20,0.33854256909613384,8173.343501896883,4266.087890625,0.5230462901018149
fedprox,21,0.2156927003754058,6540.144952522077,3399.459228515625,0.6946123472654022
fedprox,22,0.22355068448852514,6637.245211682329,3404.91259765625,0.6854769874123531
fedprox,23,0.30550737549721774,7799.95641013461,3927.081787109375,0.5656287405618461
fedprox,24,0.22462650155321645,6704.911035949694,3411.840576171875,0.6790312535858356
fedprox,25,0.2227492725089895,6694.595432137778,3381.5498046875,0.6800181283422335
fedprox,26,0.22714442197782703,6822.680411685718,3393.635498046875,0.6676568070511284
fedprox,27,0.23590058964138164,7201.7372904043095,3761.31396484375,0.6297020937642773
fedprox,28,0.23841264864865133,7240.556608438332,3797.459716796875,0.6256993039401777
fedprox,29,0.2092098984773922,6669.918740134695,3319.36328125,0.6823727243949925
fedprox,30,0.25860212225403445,7435.402073862583,3536.450439453125,0.6052831839240053
fedprox,31,0.2231489011911356,7210.824363413659,3681.185546875,0.6287670192997445
fedprox,32,0.21807522189951947,6842.92013690062,3471.163330078125,0.665682089582709
fedprox,33,0.33390792627391985,8446.117214436466,4266.86669921875,0.4906797606228144
fedprox,34,0.24625971350620837,7363.345706945994,3454.6728515625,0.6128965068886763
fedprox,35,0.21833192064252158,6901.149759279247,3321.086669921875,0.6599681302077479
fedprox,36,0.24629920030548916,7398.7525975667,3830.22412109375,0.6091647446392271
fedprox,37,0.21843384210031513,6911.844037592284,3373.760009765625,0.6589134692256988
fedprox,38,0.28972658248190414,7789.9928112932175,3872.4501953125,0.5667377830507567
fedprox,39,0.23505935609460235,7320.955948508364,3712.32568359375,0.6173406844772066
fedprox,40,0.22065819238677786,7011.949229707813,3314.4658203125,0.6489619174579069
scaffold,0,4.134466124154859,24250.156288156166,20810.46875,-3.198612761198425
scaffold,1,0.3205416303729581,7600.96335999589,4239.53271484375,0.5875094654327208
scaffold,2,0.2742412092393954,6542.199324386257,3722.435791015625,0.6944204573959905
scaffold,3,0.2709445946493981,6775.11328318575,3661.1572265625,0.6722748060040937
scaffold,4,0.26427693853347206,6823.001978601501,3656.181884765625,0.6676254804873052
scaffold,5,0.26669861575067344,6988.295643431236,3692.844482421875,0.6513262517308807
scaffold,6,0.2738491196032154,7088.459353061143,4001.5927734375,0.6412594839118735
scaffold,7,0.2632192836302812,6916.5352597959045,3727.991455078125,0.6584502877937393
scaffold,8,0.3657979664048077,8487.933081734327,4247.69580078125,0.4856240990679702
scaffold,9,0.2829186598599376,7306.062687932536,4135.2998046875,0.6188960131726441
scaffold,10,0.2731006769024381,7127.998877665456,3817.92822265625,0.6372461932358557
scaffold,11,0.2971186808561729,7626.319164577365,4274.8515625,0.5847528451442301
scaffold,12,0.3375743477490386,8026.346117630363,4026.636962890625,0.5400480199851745
scaffold,13,0.3295386095821798,7797.0568806441315,4205.14990234375,0.5659516270923388
scaffold,14,0.3383263086483495,8019.0161491295175,4552.62109375,0.5408877361547735
scaffold,15,0.34218545051790406,7869.617017364949,4319.7265625,0.5578354658471231
scaffold,16,0.33342090987393946,7773.269839649207,4217.50146484375,0.5685959645284742
scaffold,17,0.3816909796017462,8303.521662523679,4785.5322265625,0.507732264178438
scaffold,18,0.35559466067204626,7859.069156076946,4373.09130859375,0.5590199502107093
scaffold,19,0.4392895333005588,8996.006669628474,4769.65478515625,0.4222017106885062
scaffold,20,0.42719351100467273,8969.998885172728,4543.84130859375,0.42553775507977243
scaffold,21,0.3942126189933019,8627.139502755244,4589.955078125,0.468613716247974
scaffold,22,0.4033893393119097,8674.341473564435,4929.58837890625,0.4627829862264021
