strategy,round,loss,rmse,mae,r2
fedavg,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
fedavg,1,0.1716320755459002,6051.3039917029455,3306.743896484375,0.7385584125433908
fedavg,2,0.11827608171771976,6060.075577086477,2740.12646484375,0.7377999459822098
fedavg,3,0.060324997535590064,4457.020080726584,1789.939208984375,0.8581707128776113
fedavg,4,0.049331837811076654,4210.635343983138,1586.9278564453125,0.8734179938609321
fedavg,5,0.0429644284390638,4145.502382100389,1467.1751708984375,0.8773038150474979
fedavg,6,0.03982333896108114,4085.6104806993044,1346.176513671875,0.8808234996863824
fedavg,7,0.035000341524974395,4036.591259961801,1389.679931640625,0.8836661066994497
fedavg,8,0.0355920931408434,3945.670158540878,1276.004638671875,0.8888477491453245
fedavg,9,0.03880019981597168,4090.9720116373323,1258.495849609375,0.8805105053690445
fedavg,10,0.032600904246016874,3929.828113289435,1344.771240234375,0.8897385176410793
fedavg,11,0.03400633515885386,3943.8534455529657,1272.2823486328125,0.8889500811205476
fedavg,12,0.03119573341038007,3897.5955408430978,1343.933349609375,0.8915398390588984
fedavg,13,0.0337226567519016,3875.8067547286205,1238.9461669921875,0.8927491016198532
fedavg,14,0.031581582942437625,4038.204675347697,1413.740234375,0.8835730876306065
fedavg,15,0.03184014788400027,3874.616884286755,1246.6534423828125,0.8928149446012598
fedavg,16,0.030807918546685843,3940.5645534618516,1347.8001708984375,0.8891352172995846
fedavg,17,0.033575924939159285,3929.860175629662,1284.9681396484375,0.8897367210567776
fedavg,18,0.03155327573560604,3852.9279775256637,1261.5977783203125,0.8940115577421315
fedavg,19,0.029731995834330976,3914.3026198800726,1365.9150390625,0.8906080131121029
fedavg,20,0.028960594998947237,3874.6272078743264,1367.046142578125,0.8928143726274821
fedavg,21,0.030293616578319187,3829.8146169233833,1244.484375,0.8952793742853261
fedavg,22,0.030030251851486587,3954.2556821733215,1429.8438720703125,0.888363500012554
fedavg,23,0.03156772810020442,4218.146986533305,1506.4598388671875,0.8729659585846401
fedavg,24,0.029272621667522605,3976.2399323984464,1394.3707275390625,0.8871187310794008
fedavg,25,0.030446552565001856,3818.2560155128413,1261.4781494140625,0.8959105253499952
