strategy,round,loss,rmse,mae,r2
fedavg,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
fedavg,1,0.15754405330631177,6006.928999080978,3114.57470703125,0.7423787280664189
fedavg,2,0.08792298281548494,4916.4674309914835,2179.401123046875,0.8274229425193925
fedavg,3,0.058764185562146944,4329.691213008152,1718.3084716796875,0.8661585760046968
fedavg,4,0.047292500896866964,4194.683063116926,1503.296875,0.8743753019728226
fedavg,5,0.039656891325935195,4087.0151700232286,1472.232421875,0.8807415314442437
fedavg,6,0.042036568747838975,4043.6354929691674,1425.2989501953125,0.8832597266634112
fedavg,7,0.04634475892777728,4487.4435929602505,1402.29443359375,0.856227864614804
fedavg,8,0.03524550181087723,3950.4457976284143,1425.3389892578125,0.8885785181549757
fedavg,9,0.03393043481829831,3949.8118942552187,1433.7122802734375,0.8886142738490773
fedavg,10,0.03412064890505199,3881.953116666918,1306.462646484375,0.8924086672271814
fedavg,11,0.03379334046420386,3887.525305383876,1388.17041015625,0.8920995667313301
fedavg,12,0.032121356408538644,3850.518796214349,1357.52734375,0.8941440650006254
fedavg,13,0.03428915028115632,3849.9325968125727,1262.17626953125,0.894176293523098
fedavg,14,0.039183774535192055,3985.200998695047,1259.3826904296875,0.8866093664313929
fedavg,15,0.03380973910428994,3925.3472457860335,1277.3358154296875,0.8899898194533973
fedavg,16,0.0333118959065665,3857.832163275121,1279.142333984375,0.8937415714530762
fedavg,17,0.031083323289392704,3851.324447511531,1359.4180908203125,0.8940997663648445
fedavg,18,0.03761231447051586,4083.596086784294,1242.385986328125,0.8809409889667138
fedavg,19,0.032875695024825326,3932.0328075945654,1270.6099853515625,0.8896147659811819
fedavg,20,0.03292894050471462,3921.021805601188,1271.220703125,0.8902321310112098
fedavg,21,0.03656092957745763,4005.0928828180754,1220.777587890625,0.8854745777894897
fedavg,22,0.029567674743973742,3901.0702377680923,1398.1165771484375,0.8913463652621024
fedavg,23,0.030160636983909004,4006.5211842694653,1426.1324462890625,0.8853928808682456
fedavg,24,0.029218178132218248,3909.5080253146944,1407.2271728515625,0.890875836166999
fedavg,25,0.029348967935975898,3778.8797281734173,1244.964599609375,0.8980463340997977
fedavg,26,0.028255928085449945,3802.9860636084377,1342.561767578125,0.896741412591026
fedavg,27,0.028811425975745278,3847.552598730783,1383.2860107421875,0.894307092193256
fedavg,28,0.029460507099411132,3738.297473449645,1246.0958251953125,0.9002243809131822
fedavg,29,0.02887886606246502,3880.0478089838016,1398.018310546875,0.892514255053139
fedavg,30,0.03393285223184791,3920.089539793702,1176.470458984375,0.8902843199519237
fedprox,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
fedprox,1,0.14351308423513873,5686.339771768831,2955.94873046875,0.7691433756988932
fedprox,2,0.12484841182857842,6016.554495722614,2776.863525390625,0.7415524459475981
fedprox,3,0.07208241295693452,4905.111007918169,1962.25390625,0.8282192913438486
fedprox,4,0.058460273835042056,4613.177213157977,1719.8636474609375,0.8480582898183505
fedprox,5,0.047883260380495396,4393.99180700192,1618.6795654296875,0.8621536742774182
fedprox,6,0.0446603166774558,4369.51805122716,1607.9642333984375,0.8636849507422049
fedprox,7,0.0414060817670858,4229.602345374799,1448.30419921875,0.8722750289272072
fedprox,8,0.047469700202756863,4438.736306653054,1451.586669921875,0.8593319663062273
fedprox,9,0.040805129845296904,4211.92212653558,1391.1163330078125,0.8733406160750092
fedprox,10,0.03748732239546006,4162.5350448975205,1426.0787353515625,0.8762934966992126
fedprox,11,0.042536329201524455,4531.0446919005335,1663.0166015625,0.8534204413220607
fedprox,12,0.036191733131781145,4092.9657951172767,1368.3118896484375,0.8803940060433283
fedprox,13,0.03485402726047974,4087.6715866126037,1411.8673095703125,0.8807032238671341
fedprox,14,0.03564777902216317,4030.540162310754,1309.7872314453125,0.8840146293879775
fedprox,15,0.035229518038100205,4041.2465898531855,1318.203857421875,0.8833976163418129
fedprox,16,0.03540978809200235,3976.45067868319,1316.079345703125,0.8871067636280525
fedprox,17,0.034059627988602716,3937.5553329445415,1315.5811767578125,0.8893044775397924
fedprox,18,0.03470727204603919,3929.9253173565526,1323.5830078125,0.8897330618911999
fedprox,19,0.03273964731383288,3984.7767817030854,1396.7803955078125,0.8866335066580094
fedprox,20,0.03412793940091982,3939.7163603488007,1269.313720703125,0.8891829404450343
fedprox,21,0.039898902668226266,4135.695346613433,1265.8409423828125,0.8778836497981137
fedprox,22,0.036071575793214405,4304.671416031658,1555.905517578125,0.8677009546271681
fedprox,23,0.03248734590424637,4003.640218601067,1378.4287109375,0.8855576386482036
fedprox,24,0.03343165286610215,3946.2521460241237,1291.739501953125,0.8888149559820714
fedprox,25,0.03785131974827681,4413.4075270702115,1637.4312744140625,0.8609327742499869
fedprox,26,0.03142147902828999,3932.463095821752,1403.1982421875,0.889590603755574
fedprox,27,0.03175578666934996,3839.659620330948,1305.375732421875,0.8947402889998707
fedprox,28,0.032242757997801574,3819.9272244376593,1278.1695556640625,0.8958193908614195
fedprox,29,0.03203467577098006,3982.026870828473,1454.3944091796875,0.8867899194872111
fedprox,30,0.03166946378109627,3845.042262446539,1310.241943359375,0.8944449672056635
scaffold,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
scaffold,1,0.14344768287425294,5592.079040929232,2961.13525390625,0.7767336290545315
scaffold,2,0.10222859308123589,5572.9415930906725,2448.80029296875,0.7782591564495529
scaffold,3,0.07699416884208993,5071.774837273437,1960.9246826171875,0.8163475796064305
scaffold,4,0.06505200760803347,4842.021065629517,1732.6025390625,0.8326097913932436
scaffold,5,0.048327369899409583,4433.549142617007,1519.468505859375,0.8596605432425082
scaffold,6,0.04626423016810788,4370.374812301572,1490.7576904296875,0.863631493192984
scaffold,7,0.04960933132349339,4680.342295174574,1461.689697265625,0.8436017341306316
scaffold,8,0.04211843414503031,4286.063228651673,1457.6220703125,0.8688422769695315
scaffold,9,0.039731016231246793,4150.799441071563,1424.3284912109375,0.8769900580984564
scaffold,10,0.03793384758764906,4146.627786527264,1384.248779296875,0.8772371947683935
scaffold,11,0.03389480174028706,4119.766498237491,1455.3150634765625,0.8788225154221729
scaffold,12,0.03448346355479723,4243.101224340518,1527.516845703125,0.8714584556966124
scaffold,13,0.03297128856981709,4074.806130357615,1409.7108154296875,0.8814529861606984
scaffold,14,0.03363975377822502,4030.9647728552527,1316.38037109375,0.8839901885084778
scaffold,15,0.034164301497131254,4078.308595484162,1353.182373046875,0.8812491068409471
scaffold,16,0.032138056638337666,4050.2520909197738,1432.482666015625,0.882877369526035
scaffold,17,0.03265853220486683,4027.890390762887,1336.8466796875,0.8841670823987184
scaffold,18,0.030293486181015118,3967.181997337657,1402.4256591796875,0.8876324368617212
scaffold,19,0.02939823846385974,3956.02477241991,1376.5018310546875,0.8882635879263903
scaffold,20,0.03137785904184208,3924.807256414001,1259.86962890625,0.8900200827326338
scaffold,21,0.031213853437240528,4069.024698868268,1439.54638671875,0.881789145416032
scaffold,22,0.032638120919899455,4131.155044294513,1540.5150146484375,0.8781516415119444
scaffold,23,0.02831733998736981,3906.204423734119,1386.9893798828125,0.8910601803823437
scaffold,24,0.02894150411827843,3760.2260570343374,1271.7264404296875,0.8990503974015143
scaffold,25,0.030235015662011495,3791.7356184206724,1248.135009765625,0.8973514519569012
scaffold,26,0.035478872309626645,3956.27602677063,1212.7119140625,0.8882493912439087
scaffold,27,0.0311259278353143,3989.74560592527,1473.787353515625,0.8863506069609737
scaffold,28,0.0303206870382803,3985.81284056339,1468.9810791015625,0.8865745493609264
scaffold,29,0.02904276428940363,3913.8207674853993,1416.480224609375,0.8906349398776363
scaffold,30,0.02966378114504764,3904.047002790822,1429.886474609375,0.8911804855335805
hybrid,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
hybrid,1,0.14457263967158682,5818.378124529206,2920.27490234375,0.7582978142506064
hybrid,2,0.09193966534724805,4955.590983929162,2287.2685546875,0.824665398273261
hybrid,3,0.07976788704992537,5042.130303750589,2066.695556640625,0.8184882134683575
hybrid,4,0.06527890931392684,4721.058779553587,1815.71728515625,0.8408687260929627
hybrid,5,0.05047431924831544,4412.422237275123,1639.97314453125,0.86099487006985
hybrid,6,0.04649830487936944,4358.6211122326295,1591.77685546875,0.8643640009442554
hybrid,7,0.04278982001559486,4286.4045539356175,1534.3560791015625,0.8688213925936494
hybrid,8,0.04491038666430902,4467.183228836713,1647.8948974609375,0.8575231652313156
hybrid,9,0.04016570725320365,4111.551045530142,1397.1649169921875,0.8793053272875021
hybrid,10,0.0389881150950206,4059.518321180482,1376.6053466796875,0.8823408434565848
hybrid,11,0.04502848518167883,4269.949180025448,1386.0418701171875,0.8698266291749099
hybrid,12,0.03914031455407261,4083.2315633576304,1359.6995849609375,0.8809622399924535
hybrid,13,0.03719462786960895,3994.2479892966085,1324.885986328125,0.8860939593937336
hybrid,14,0.035534465704169294,4025.61026429534,1415.4749755859375,0.8842981817217596
hybrid,15,0.03583766205970538,4011.490994630301,1444.6290283203125,0.8851083752448341
hybrid,16,0.03456076888186314,3928.776781645911,1302.393798828125,0.8897975042701509
hybrid,17,0.036792901224095224,4194.896184651057,1540.8048095703125,0.8743625425577822
hybrid,18,0.03772952537628688,4045.405171302375,1271.1043701171875,0.8831575193491396
hybrid,19,0.03421852542619887,3882.729838657333,1273.020751953125,0.8923656078679187
hybrid,20,0.035114647639371686,4081.0708153620662,1524.12841796875,0.8810881915514956
hybrid,21,0.03354210446802609,3876.0623060007692,1260.5068359375,0.8927349562683515
hybrid,22,0.03222239894069425,3891.5287484483524,1396.4808349609375,0.8918772229247559
hybrid,23,0.031928158196113415,3930.9216476546567,1413.243896484375,0.8896771477879339
hybrid,24,0.03228248220493825,3779.4666290364307,1257.62744140625,0.8980146628851085
hybrid,25,0.03250212268950558,3770.880931559627,1253.548095703125,0.8984774850002076
