strategy,round,loss,rmse,mae,r2
fedavg,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
fedavg,1,0.1557107338067163,5435.040018251935,3034.686279296875,0.7890972675727357
fedavg,2,0.1229694923806334,5944.259415604269,2771.352783203125,0.7477261549118527
fedavg,3,0.0872296282391969,5330.051031650635,2140.06640625,0.7971666149641481
fedavg,4,0.05343771980255244,4512.696754713305,1577.517822265625,0.8546051456755615
fedavg,5,0.04601141047797567,4434.744186534326,1658.1502685546875,0.8595848813779183
fedavg,6,0.04335161287303913,4248.364626535721,1426.3397216796875,0.871139352992649
fedavg,7,0.05396640631944733,4668.730234228575,1485.5045166015625,0.8443768172633537
fedavg,8,0.03776279387765806,4185.053643622743,1498.6683349609375,0.8749514115608865
fedavg,9,0.05070522629983776,4673.335853541878,1464.7811279296875,0.8440696380127555
fedavg,10,0.04953021856553576,4664.1430080991295,1424.4002685546875,0.8446824859165389
fedavg,11,0.043343691403791684,4874.953127979797,1714.4256591796875,0.8303250934693149
fedavg,12,0.03462872688949049,4053.0129533471763,1330.028076171875,0.8827176421821217
fedavg,13,0.042051473245727146,4825.06124313464,1698.3927001953125,0.8337803430622455
fedavg,14,0.04698766577557297,4584.250211321367,1368.5985107421875,0.8499578293999919
fedavg,15,0.03077087273733427,3994.0996482311252,1408.1898193359375,0.8861024143394471
fedavg,16,0.032744282474526494,3908.075101632516,1244.103759765625,0.8909558098339129
fedavg,17,0.032975098815977336,3951.539573381494,1226.6707763671875,0.8885168109839615
fedavg,18,0.03526390740533949,4153.676203076017,1214.0936279296875,0.876819492584756
fedavg,19,0.03459401444392793,4368.498826828273,1569.9957275390625,0.8637485424934865
fedavg,20,0.032303872908705636,3831.8986155690495,1271.010009765625,0.8951653755116379
fedavg,21,0.03178692855120243,3856.6931430955196,1257.48046875,0.8938043125766885
fedavg,22,0.04047822594127002,4253.863185388077,1231.5826416015625,0.8708055842943861
fedavg,23,0.03195846834712276,3850.0958429628736,1188.2735595703125,0.8941673179345868
fedavg,24,0.03269227616462778,4020.7087683641053,1236.5692138671875,0.8845797688123056
fedavg,25,0.031061669516422922,4230.5685197145785,1488.9381103515625,0.8722166729358903
fedavg,26,0.02849997934084778,3792.434442412947,1212.0511474609375,0.8973136136916091
fedavg,27,0.03740404255841387,4030.50356655344,1177.7247314453125,0.8840167339581595
fedavg,28,0.02952007423626743,3835.9280493773604,1184.8026123046875,0.8949447842913826
fedavg,29,0.040393858006991884,4510.529458943816,1216.2713623046875,0.8547447806072848
fedavg,30,0.02969128761623604,3867.3706830351807,1157.6502685546875,0.8932154729055728
fedavg,31,0.0372622052759657,4204.574413659485,1164.4442138671875,0.8737821358333887
fedavg,32,0.03908788075239968,4288.511629924769,1182.42431640625,0.868692390507793
fedavg,33,0.03859682985718774,4399.148553981781,1182.155517578125,0.8618299371192562
fedavg,34,0.029332676163520532,3995.8612338268204,1194.0792236328125,0.8860019229465086
fedavg,35,0.030488855120470913,3955.6904580616515,1206.3896484375,0.8882824703940506
fedavg,36,0.04280756499035398,4674.423600830374,1247.2840576171875,0.8439970413409741
fedavg,37,0.029826917457641846,3902.0559965228585,1246.483154296875,0.8912914484464488
fedavg,38,0.03389593522057849,4396.718549099999,1636.7730712890625,0.8619825367899401
fedavg,39,0.028780954144521427,3766.1297109897846,1198.159912109375,0.8987331572788269
fedavg,40,0.03204755647969222,3897.9350943801,1248.70703125,0.8915209345922467
fedprox,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
fedprox,1,0.15211994349657593,5929.432013270748,3130.686279296875,0.7489831186192659
fedprox,2,0.09836162074488647,5174.425378725642,2385.962646484375,0.8088382532073356
fedprox,3,0.11506519418811367,6205.082755290215,2621.37841796875,0.7251018054660279
fedprox,4,0.06377507609650568,4716.068489748638,1762.518310546875,0.8412049586782677
fedprox,5,0.05942247821337571,4654.368700479153,1709.0799560546875,0.8453327761037686
fedprox,6,0.05169677745771324,4451.744152576605,1671.5316162109375,0.8585063001591671
fedprox,7,0.05350161449555887,4896.816925309747,1805.8013916015625,0.8287997274002308
fedprox,8,0.05426036372174553,4659.0065464646,1535.897705078125,0.8450243942416379
fedprox,9,0.041139681297639306,4287.161998338761,1548.12109375,0.8687750187196751
fedprox,10,0.040718732816480106,4243.245220347276,1546.9664306640625,0.8714497294300043
fedprox,11,0.03839155929602137,4212.78886249952,1498.969970703125,0.8732884784652752
fedprox,12,0.03847306233306706,4117.089020169469,1349.5709228515625,0.8789799695369699
fedprox,13,0.05118991201112949,4676.226683983573,1489.22216796875,0.8438766628597656
fedprox,14,0.035832522606987174,4174.438165789499,1478.76318359375,0.8755849825146149
fedprox,15,0.03620352852835489,4092.3885446032614,1295.32861328125,0.8804277378302166
fedprox,16,0.03608582462880054,4189.895702759199,1493.7449951171875,0.8746618901674247
fedprox,17,0.05622358019337611,5152.623409487637,1904.3179931640625,0.8104457488444956
fedprox,18,0.04485967619682745,4571.959098679689,1376.3466796875,0.8507613205636717
fedprox,19,0.04044132378538968,4455.77939310285,1630.1312255859375,0.8582496745909185
fedprox,20,0.05636972170267086,5137.354572150924,1869.81591796875,0.8115675067504639
fedprox,21,0.03471276138273022,4098.463370581711,1482.1304931640625,0.8800724834503054
fedprox,22,0.03514767932792455,4089.1351163785234,1280.9493408203125,0.8806177797843465
fedprox,23,0.03389372357513864,3941.341396022425,1280.7921142578125,0.8890914979705784
fedprox,24,0.03489707751104322,4065.5988488782314,1286.3277587890625,0.8819881116276931
fedprox,25,0.03361525983851377,3960.6394685707005,1250.3443603515625,0.8880027532177778
fedprox,26,0.03429625282174307,3998.691410949337,1310.8607177734375,0.8858403843522993
fedprox,27,0.033898780348457565,4043.664921825249,1517.7376708984375,0.8832580254080725
fedprox,28,0.031306544060976715,3862.9043477673636,1277.946533203125,0.8934619789377549
fedprox,29,0.031815474176613116,3785.0535002823935,1249.7889404296875,0.8977129247183953
fedprox,30,0.03217440312625532,4034.3089866791315,1465.7215576171875,0.8837976166703312
fedprox,31,0.033579769862840024,4023.4149674126334,1536.8070068359375,0.884424345937719
fedprox,32,0.03275057136519264,4061.106745703688,1504.6741943359375,0.8822487483453825
fedprox,33,0.03145503489171699,3794.5149887699745,1199.50927734375,0.8972009128584164
fedprox,34,0.03216340399927337,3968.6763536473973,1483.1832275390625,0.8875477700766315
fedprox,35,0.030488369601555432,3690.9007030804823,1239.904296875,0.9027383963239743
fedprox,36,0.04318048036026739,4306.455851393347,1303.519287109375,0.8675912383238154
fedprox,37,0.03015295818164093,3807.883926802391,1380.37451171875,0.8964752687924771
fedprox,38,0.03362448422710898,4116.991620103204,1592.6629638671875,0.8789856966077438
fedprox,39,0.05220725788086104,4937.56701220348,1562.2906494140625,0.8259384945744034
fedprox,40,0.03312821118133059,3813.187774028444,1219.6302490234375,0.8961866713566561
scaffold,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
scaffold,1,0.1483856034703336,5530.858342065904,2938.767578125,0.7815953914987449
scaffold,2,0.08412840045472923,4869.201782633371,2051.642822265625,0.8307252111257876
scaffold,3,0.05088638704841809,4312.329532862719,1669.472900390625,0.8672298095603042
scaffold,4,0.065912257233558,5128.482036626432,1882.5235595703125,0.8122178116036878
scaffold,5,0.03967514810121526,4048.960236900333,1460.0316162109375,0.8829520707679983
scaffold,6,0.03982303642229725,3915.7779559111877,1321.7305908203125,0.8905255315601638
scaffold,7,0.03365006444671209,3879.647793292582,1356.1666259765625,0.8925364153705252
scaffold,8,0.038466465840659804,3990.9487593804056,1303.9986572265625,0.8862820507706217
scaffold,9,0.03661687355376444,3821.360752402212,1264.9365234375,0.8957411844468186
scaffold,10,0.05670449406295312,4419.361718619556,1532.4742431640625,0.860557295463937
scaffold,11,0.033119463984861056,4045.9674986336704,1471.2923583984375,0.8831250341717667
scaffold,12,0.04887926961045895,4417.597084388752,1378.3052978515625,0.8606686250266627
scaffold,13,0.04670923277773075,4579.076544457408,1331.6495361328125,0.8502963058824247
scaffold,14,0.03577778916693888,4038.984030669099,1318.198974609375,0.8835281436910765
scaffold,15,0.04232831053816925,4819.8429434993,1713.4010009765625,0.8341396892545663
scaffold,16,0.02903998349844632,3822.3416906393913,1356.5068359375,0.8956876462346292
scaffold,17,0.029611852578631973,3873.272776348188,1314.3731689453125,0.8928892938593599
scaffold,18,0.03299301049841144,3743.5584675546343,1214.6776123046875,0.8999433511304197
scaffold,19,0.043617999537053,4271.609532717147,1250.1700439453125,0.8697253751502678
scaffold,20,0.04397829881109813,4157.082871437614,1297.9586181640625,0.8766173511853291
scaffold,21,0.032585546518176224,3819.222172118297,1200.2652587890625,0.8958578450984722
scaffold,22,0.03218653018762887,3888.8297725665493,1253.9830322265625,0.8920271460514803
scaffold,23,0.03183003362742745,3939.1887489684977,1255.4417724609375,0.889212617084499
