strategy,round,loss,rmse,mae,r2
fedavg,0,4.134466124154859,24250.156288156166,20810.46875,-3.198612761198425
fedavg,1,0.3077434612850966,7251.153563399413,4035.774169921875,0.6246029035383529
fedavg,2,0.26702552811133345,6772.339034631978,3786.45361328125,0.6725431350357932
fedavg,3,0.22946206397314367,6199.229306938081,3363.07275390625,0.7256202190325184
fedavg,4,0.21639317169471634,6162.136966994486,3318.375732421875,0.7288938156200583
fedavg,5,0.2326436444534103,6322.123377473742,3417.045166015625,0.7146337173790156
fedavg,6,0.2313897226794194,6300.873272809095,3540.3662109375,0.7165488615785913
fedavg,7,0.34209315928676304,7712.635347272681,4223.73681640625,0.5752999371826133
fedavg,8,0.2427783561431417,6541.731269320072,3398.4873046875,0.694464191390991
fedavg,9,0.20940537456284794,6394.618362341884,3450.677978515625,0.7080516778014807
fedavg,10,0.25773913529865,6837.958759746946,3494.654541015625,0.6661666833663455
fedavg,11,0.21614734265007968,6329.341197944696,3336.920166015625,0.7139817552684358
fedavg,12,0.2723669831004879,7213.454373599378,3594.99951171875,0.6284961677170255
fedavg,13,0.22754287600158568,6610.383649985831,3424.483154296875,0.6880176362687926
fedavg,14,0.33469497171065277,8254.730037984284,4273.64404296875,0.5135004290683292
fedavg,15,0.36955697961532724,8325.908478958918,4436.4765625,0.5050743166995928
fedavg,16,0.21097966523443087,6352.135388985345,3362.348388671875,0.7119179565506426
fedavg,17,0.2045296663595896,6361.861362840281,3319.3974609375,0.7110350930258151
fedavg,18,0.21272709008414623,6499.091013364869,3346.44921875,0.6984343053797918
fedavg,19,0.21575420066609666,6539.620172456502,3404.6591796875,0.6946613610183503
fedavg,20,0.24039836626952008,6918.143681653338,3794.00390625,0.6582914257434896
fedavg,21,0.2184092457160548,6577.2550505511035,3425.14501953125,0.6911368586003386
fedavg,22,0.2331439439906041,7243.441999491678,3768.922607421875,0.6254009389521534
fedavg,23,0.24296490487865843,7077.354025340262,3854.03076171875,0.6423826644192888
fedavg,24,0.3455949029665713,8230.862895225506,4301.060546875,0.5163096122803885
fedavg,25,0.20073546868269757,6426.965691521933,3245.583740234375,0.7050905548884809
fedavg,26,0.21203450473733507,6616.06197068921,3350.345703125,0.6874814181852229
fedavg,27,0.2107583406486865,6609.786380814436,3352.736572265625,0.6880740123508791
fedavg,28,0.2601635485155174,7173.327261459636,3487.817138671875,0.6326178987548923
fedavg,29,0.23256600118329077,7338.848956069337,3783.5986328125,0.615467895669167
fedavg,30,0.20954126674110218,6613.990625938322,3290.675048828125,0.687677062549175
fedavg,31,0.26725811287835466,7457.547049801295,3561.5634765625,0.6029284998752804
fedavg,32,0.24270665875767752,7401.644411885781,3863.73876953125,0.6088591639820076
fedavg,33,0.2419788949976235,7436.497024809463,3834.378662109375,0.6051669119212006
fedavg,34,0.20590494676990997,6637.327474217314,3239.891357421875,0.6854691851033858
fedavg,35,0.2840933319080318,7840.488505188947,3751.3720703125,0.56110263872916
hybrid,0,4.134466124154859,24250.156288156166,20810.46875,-3.198612761198425
hybrid,1,3.0448756402091255,22914.721207119233,18278.59375,-2.7489174736287825
hybrid,2,0.3192688716928603,7313.456638279877,4107.28759765625,0.6181242298886394
hybrid,3,0.2820730911513628,6741.848707884211,3703.91455078125,0.6754850454962609
hybrid,4,0.33535825333360925,7507.9387317691935,4197.4521484375,0.5975442320521669
hybrid,5,0.20298005236964767,6165.286043647934,3332.9921875,0.7286166576597908
hybrid,6,0.20826581649579398,6161.7617610550315,3260.4013671875,0.7289268434392202
hybrid,7,0.23030893972429373,6788.450191317603,3695.042236328125,0.6709832598821229
hybrid,8,0.24747950765290255,6670.91657870191,3750.124267578125,0.6822776594199447
hybrid,9,0.21890704226171,6498.383183531116,3469.36865234375,0.698499979702264
hybrid,10,0.22775327634727704,6603.1586381064635,3467.762939453125,0.6886992530198456
hybrid,11,0.2508122605330487,7129.436443366334,3871.89990234375,0.6370998852767262
hybrid,12,0.24420881618109486,6755.984606258366,3617.96826171875,0.6741227799497789
hybrid,13,0.289820051259747,7310.320102430536,3716.03662109375,0.6184517215413421
hybrid,14,0.2603100778585451,7053.100027647418,3961.145263671875,0.6448295682401675
hybrid,15,0.277695561483607,7154.121050136068,4043.369384765625,0.6345825553512223
hybrid,16,0.23449732581435617,6609.853251018512,3548.624267578125,0.6880677059733304
hybrid,17,0.2579851221057812,6927.975461850308,3714.224853515625,0.6573194809692885
hybrid,18,0.30239275465518567,7525.118205051665,3795.281494140625,0.5957003352528969
hybrid,19,0.3679867509674046,8702.975583098001,4457.2646484375,0.45923041309530155
hybrid,20,0.26183156960586845,7053.721287377323,3554.949951171875,0.6447670031084869
