strategy,round,loss,rmse,mae,r2
fedavg,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
fedavg,1,0.18445939682760354,6969.850500548774,3611.342041015625,0.6531644287923739
fedavg,2,0.08761358158728304,4902.575241645965,2204.144775390625,0.8283968525368298
fedavg,3,0.05874450531308964,4524.669711702722,1799.5750732421875,0.8538326144258475
fedprox,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
fedprox,1,0.1451806366114822,5597.5042652953825,2991.571533203125,0.7763002049250052
fedprox,2,0.09051079193920405,4787.116459832579,2273.873779296875,0.8363844076780352
fedprox,3,0.06254622690686013,4316.356102084257,1823.9219970703125,0.8669817489327263
scaffold,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
scaffold,1,0.16745627034033314,5977.979257240694,3325.29345703125,0.7448559024995313
scaffold,2,0.11681950285866363,5911.941474676487,2744.606201171875,0.750461832160484
scaffold,3,0.05984911203025695,4339.014865150844,1796.5552978515625,0.8655815131270035
hybrid,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
hybrid,1,0.15743508142836712,6004.911323242001,3178.80029296875,0.7425517574671616
hybrid,2,0.09910093147004978,4950.2092885048805,2376.2978515625,0.8250460101573156
hybrid,3,0.06670472736927188,4502.573930542396,1928.0333251953125,0.8552567118042951
